country,party_family,id,created_at,updated_at,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,foundation_date,dissolution_date,data_source,description,comment,data_json,country_id,family_id
AUS,con,1935,2024-08-15 07:29:44.828000,2024-08-15 07:29:44.830000,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),Australian Country Party (Vic),,http://en.wikipedia.org/wiki/Australian_Country_Party,1920-07-01,,,New party formed in 1920. ,,{},33,26
AUS,soc,120,2024-08-15 07:29:41.803000,2024-08-15 07:29:41.806000,AD,Australian Democrats,Australian Democrats,Australian Democrats,,http://en.wikipedia.org/wiki/Australian_Democrats,1977-07-01,,,,,{},33,11
AUS,eco,751,2024-08-15 07:29:42.967000,2024-08-15 07:29:42.968000,AG,Australian Greens,Australian Greens,Australian Greens,,http://en.wikipedia.org/wiki/Australian_Greens,1992-07-01,,,New party formed in 1992.,,{},33,19
AUS,soc,1253,2024-08-15 07:29:43.812000,2024-08-15 07:29:43.814000,ALP,Australian Labor Party,Australian Labor Party,Australian Labor Party,,http://en.wikipedia.org/wiki/Australian_Labor_Party,,,,,,{},33,11
AUS,lib,1760,2024-08-15 07:29:44.617000,2024-08-15 07:29:44.619000,AP,Australia Party,Australia Party,Australia Party,,http://en.wikipedia.org/wiki/Australia_Party,1969-07-01,,,Party formed in 1969 as split from Liberal Party of Australia (LPA).,,{},33,6
AUS,con,1428,2024-08-15 07:29:44.117000,2024-08-15 07:29:44.119000,C,Coalition,Coalition,Coalition,,http://en.wikipedia.org/wiki/Coalition_%28Australia%29,1923-07-01,,,,,{},33,26
AUS,chr,1650,2024-08-15 07:29:44.480000,2024-08-15 07:29:44.481000,CDP,Christian Democratic Party,Christian Democratic Party,Christian Democratic Party,,http://en.wikipedia.org/wiki/Christian_Democratic_Party_%28Australia%29,1977-07-01,,,New party formed in 1977.,,{},33,3
AUS,con,2285,2024-08-15 07:29:45.598000,2024-08-15 07:29:45.599000,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,Commonwealth Liberal Party,,http://en.wikipedia.org/wiki/Commonwealth_Liberal_Party,1909-07-01,,,,,{},33,26
AUS,com,1922,2024-08-15 07:29:44.816000,2024-08-15 07:29:44.818000,CPA,Communist Party of Australia,Communist Party of Australia,Communist Party of Australia,,http://en.wikipedia.org/wiki/Communist_Party_of_Australia,1920-07-01,1991-07-01,,New party formed in October 1920.,,{},33,14
AUS,con,1914,2024-08-15 07:29:44.800000,2024-08-15 07:29:44.801000,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),Country Progressive Party (Vic),,http://en.wikipedia.org/wiki/Country_Progressive_Party,1925-07-01,,hug-68,,,{},33,26
AUS,lib,215,2024-08-15 07:29:41.964000,2024-08-15 07:29:41.965000,CouLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,,http://en.wikipedia.org/wiki/Country_Liberal_Party,1974-07-01,,,New party formed in 1974. ,,{},33,6
AUS,soc,1306,2024-08-15 07:29:43.921000,2024-08-15 07:29:43.922000,DLP,Democratic Labour Party,Democratic Labour Party,Democratic Labour Party,,http://en.wikipedia.org/wiki/Democratic_Labor_Party,,,,,,{},33,11
AUS,lib,1904,2024-08-15 07:29:44.778000,2024-08-15 07:29:44.780000,EC-SA,Emergency Committee (SA),Emergency Committee (SA),Emergency Committee (SA),,http://en.wikipedia.org/wiki/Emergency_Committee_of_South_Australia,,,,New party formed in 1931.,,{},33,6
AUS,con,446,2024-08-15 07:29:42.433000,2024-08-15 07:29:42.435000,FFP,Family First Party,Family First Party,Family First Party,,http://en.wikipedia.org/wiki/Family_First_Party,,,,,,{},33,26
AUS,agr,1913,2024-08-15 07:29:44.797000,2024-08-15 07:29:44.798000,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),Farmers and Settlers (NSW),,,,,,,,"{""information_needed"": ""party origin""}",33,2
AUS,lib,1938,2024-08-15 07:29:44.835000,2024-08-15 07:29:44.836000,FTP,Free Trade Party,Free Trade Party,Free Trade Party,,http://en.wikipedia.org/wiki/Anti-Socialist_Party,1889-07-01,1909-07-01,,,Also known as Australian Free Trade and Liberal Association.,{},33,6
AUS,con,1903,2024-08-15 07:29:44.775000,2024-08-15 07:29:44.776000,I-Nat,Independent Nationalist,Independent Nationalist,Independent Nationalist,,,,,,,,"{""information_needed"": ""party origin""}",33,26
AUS,con,1917,2024-08-15 07:29:44.803000,2024-08-15 07:29:44.804000,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),,,,,,,,{},33,26
AUS,none,1941,2024-08-15 07:29:44.841000,2024-08-15 07:29:44.843000,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),Independent UAP (NSW),,,,,,,,{},33,12
AUS,soc,2258,2024-08-15 07:29:45.529000,2024-08-15 07:29:45.531000,Katter,Katter's Australian Party,Katter's Australian Party,Katter's Australian Party,,http://en.wikipedia.org/wiki/Katter%27s_Australian_Party,2011-09-27,,,New party formed on 27 September 2011. ,,{},33,11
AUS,soc,1919,2024-08-15 07:29:44.809000,2024-08-15 07:29:44.810000,LCL,Liberal and Country League,Liberal and Country League,Liberal and Country League,,http://en.wikipedia.org/wiki/Liberal_and_Country_League,,,,,,{},33,11
AUS,agr,1939,2024-08-15 07:29:44.838000,2024-08-15 07:29:44.839000,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),Liberal Country Party (Vic),,,,,,,,"{""information_needed"": ""party origin""}",33,2
